insert into `livros` values ('978-0-18-072205-3', 'A liberdade de mudar direto da fonte', '2020-10-01', '59', '13');
insert into `livros` values ('978-1-81602-948-5', 'A liberdade de mudar em estado puro', '2011-02-04', '73', '12');
insert into `livros` values ('978-1-5078-4966-8', 'A vantagem de avançar com toda a tranquilidade', '2015-09-02', '31', '17');
insert into `livros` values ('978-1-940853-53-6', 'A segurança de inovar com força total', '1992-06-30', '86', '10');
insert into `livros` values ('978-1-301-16549-0', 'O prazer de evoluir com força total', '1986-07-02', '47', '19');
insert into `livros` values ('978-0-9606660-8-9', 'A segurança de atingir seus objetivos mais facilmente', '1983-02-27', '95', '14');
insert into `livros` values ('978-1-56395-359-0', 'O direito de conseguir com toda a tranquilidade', '1977-03-08', '49', '1');
insert into `livros` values ('978-1-263-46358-0', 'A arte de atingir seus objetivos mais rapidamente', '1975-07-29', '76', '14');
insert into `livros` values ('978-1-70773-893-9', 'O direito de ganhar antes de tudo', '2015-07-13', '91', '12');
insert into `livros` values ('978-1-85672-032-8', 'A vantagem de conseguir de maneira eficaz', '1995-12-13', '65', '10');
insert into `livros` values ('978-1-231-29780-3', 'A arte de conseguir em estado puro', '2003-03-22', '92', '13');
insert into `livros` values ('978-1-71164-265-9', 'O conforto de ganhar simplesmente', '2006-09-21', '27', '20');
insert into `livros` values ('978-0-85262-925-3', 'A vantagem de conseguir mais facilmente', '1999-11-12', '79', '9');
insert into `livros` values ('978-1-4982-2506-9', 'A vantagem de avançar sem preocupação', '1975-08-12', '10', '15');
insert into `livros` values ('978-0-9733514-8-4', 'A certeza de ganhar direto da fonte', '2004-12-11', '1', '14');
insert into `livros` values ('978-0-02-322692-2', 'A possibilidade de avançar mais facilmente', '2005-05-16', '24', '12');
insert into `livros` values ('978-0-328-21717-5', 'A vantagem de atingir seus objetivos com toda a tranquilidade', '1992-03-26', '73', '16');
insert into `livros` values ('978-1-84425-473-6', 'O conforto de atingir seus objetivos de maneira eficaz', '1997-11-04', '30', '14');
insert into `livros` values ('978-1-74788-564-8', 'O prazer de concretizar seus projetos com toda a tranquilidade', '2017-04-15', '85', '9');
insert into `livros` values ('978-1-103-24131-6', 'A liberdade de evoluir em estado puro', '2000-05-15', '3', '14');
insert into `livros` values ('978-0-660-24975-9', 'O conforto de avançar de maneira eficaz', '2009-12-19', '41', '8');
insert into `livros` values ('978-1-377-42775-1', 'A possibilidade de conseguir sem preocupação', '1970-04-13', '31', '9');
insert into `livros` values ('978-0-466-12295-9', 'A vantagem de mudar naturalmente', '2017-02-09', '23', '14');
insert into `livros` values ('978-0-7924-7001-4', 'O direito de avançar direto da fonte', '2020-04-21', '92', '3');
insert into `livros` values ('978-0-645-66757-8', 'O direito de realizar seus sonhos em estado puro', '1991-01-21', '41', '11');
insert into `livros` values ('978-0-636-15894-8', 'A simplicidade de conseguir simplesmente', '2011-09-25', '84', '16');
insert into `livros` values ('978-1-00-963235-5', 'A segurança de concretizar seus projetos sem preocupação', '1971-07-04', '38', '7');
insert into `livros` values ('978-1-4564-1765-9', 'A segurança de evoluir sem preocupação', '1985-03-28', '11', '5');
insert into `livros` values ('978-1-361-54477-8', 'A segurança de avançar de maneira eficaz', '2015-05-27', '35', '5');
insert into `livros` values ('978-1-77217-756-5', 'A vantagem de realizar seus sonhos direto da fonte', '2016-01-20', '77', '12');
insert into `livros` values ('978-1-57484-550-1', 'O conforto de inovar com força total', '1974-04-17', '40', '7');
insert into `livros` values ('978-0-548-94903-0', 'A possibilidade de atingir seus objetivos de maneira eficaz', '2011-11-20', '16', '13');
insert into `livros` values ('978-1-4512-9259-6', 'A arte de ganhar sem preocupação', '1999-12-22', '4', '18');
insert into `livros` values ('978-0-449-78425-9', 'O prazer de evoluir em estado puro', '2016-07-28', '82', '18');
insert into `livros` values ('978-0-595-85756-2', 'A possibilidade de ganhar direto da fonte', '1983-06-10', '11', '10');
insert into `livros` values ('978-1-4763-6286-1', 'A segurança de realizar seus sonhos sem preocupação', '1973-10-16', '3', '17');
insert into `livros` values ('978-0-655-43350-7', 'O conforto de inovar mais rapidamente', '2017-09-04', '12', '3');
insert into `livros` values ('978-0-8289-0673-9', 'A liberdade de avançar em estado puro', '1984-06-29', '92', '6');
insert into `livros` values ('978-1-69976-829-7', 'A arte de conseguir mais rapidamente', '1993-02-17', '85', '8');
insert into `livros` values ('978-0-13-144709-7', 'A simplicidade de ganhar antes de tudo', '1973-10-18', '86', '3');
insert into `livros` values ('978-0-10-052132-2', 'O prazer de inovar com confiança', '2014-08-23', '6', '2');
insert into `livros` values ('978-1-4870-7484-5', 'A certeza de mudar com toda a tranquilidade', '1986-02-25', '56', '13');
insert into `livros` values ('978-1-360-63161-5', 'O direito de atingir seus objetivos antes de tudo', '1992-01-20', '31', '17');
insert into `livros` values ('978-1-70597-104-8', 'O prazer de ganhar simplesmente', '2001-06-07', '6', '18');
insert into `livros` values ('978-1-386-55080-8', 'A arte de avançar antes de tudo', '1987-09-03', '36', '7');
insert into `livros` values ('978-0-16-804447-4', 'O prazer de mudar com força total', '1976-09-19', '12', '13');
insert into `livros` values ('978-0-9637627-9-5', 'O conforto de realizar seus sonhos com confiança', '1975-08-07', '94', '17');
insert into `livros` values ('978-0-941716-06-2', 'A segurança de mudar simplesmente', '1982-11-05', '61', '20');
insert into `livros` values ('978-1-60427-017-4', 'A simplicidade de inovar com toda a tranquilidade', '2022-02-10', '65', '18');
insert into `livros` values ('978-1-84695-873-1', 'A vantagem de concretizar seus projetos antes de tudo', '1972-02-18', '70', '14');
insert into `livros` values ('978-0-7427-2427-3', 'A certeza de mudar com força total', '1984-07-18', '48', '8');
insert into `livros` values ('978-1-957640-94-5', 'A vantagem de conseguir mais rapidamente', '1977-02-02', '23', '2');
insert into `livros` values ('978-0-647-46695-7', 'A liberdade de evoluir mais rapidamente', '1991-03-07', '96', '16');
insert into `livros` values ('978-0-12-770765-5', 'O conforto de inovar sem preocupação', '1982-10-19', '13', '16');
insert into `livros` values ('978-0-9805266-1-5', 'A simplicidade de realizar seus sonhos naturalmente', '2003-07-25', '40', '19');
insert into `livros` values ('978-1-325-45106-7', 'A segurança de atingir seus objetivos simplesmente', '1993-02-03', '41', '5');
insert into `livros` values ('978-1-00-724139-9', 'A simplicidade de concretizar seus projetos direto da fonte', '1987-02-24', '52', '13');
insert into `livros` values ('978-0-11-804873-6', 'A certeza de concretizar seus projetos antes de tudo', '2007-06-02', '13', '7');
insert into `livros` values ('978-1-203-72591-4', 'A arte de inovar mais facilmente', '1997-08-04', '33', '2');
insert into `livros` values ('978-0-634-47172-8', 'A liberdade de inovar com força total', '1990-05-04', '89', '12');
insert into `livros` values ('978-0-531-90794-8', 'A vantagem de realizar seus sonhos sem preocupação', '1981-11-01', '90', '3');
insert into `livros` values ('978-1-84166-479-8', 'A certeza de evoluir mais rapidamente', '1985-02-01', '25', '20');
insert into `livros` values ('978-1-4621-5159-2', 'A liberdade de mudar sem preocupação', '1979-09-05', '13', '4');
insert into `livros` values ('978-1-4887-6529-2', 'O direito de realizar seus sonhos antes de tudo', '2013-09-10', '38', '3');
insert into `livros` values ('978-1-995304-90-8', 'O prazer de ganhar em estado puro', '2000-01-27', '62', '4');
insert into `livros` values ('978-1-165-65485-7', 'A segurança de avançar antes de tudo', '2022-02-23', '63', '12');
insert into `livros` values ('978-1-80139-597-7', 'O prazer de evoluir mais rapidamente', '1995-03-24', '62', '1');
insert into `livros` values ('978-0-86294-135-2', 'O poder de inovar direto da fonte', '1983-12-27', '31', '4');
insert into `livros` values ('978-0-88831-298-3', 'O direito de concretizar seus projetos simplesmente', '1992-03-22', '8', '12');
insert into `livros` values ('978-1-82847-287-3', 'A segurança de conseguir com confiança', '2011-10-30', '49', '20');
insert into `livros` values ('978-0-204-82901-0', 'O prazer de conseguir sem preocupação', '1996-07-21', '78', '3');
insert into `livros` values ('978-0-565-55102-5', 'A liberdade de concretizar seus projetos com toda a tranquilidade', '2008-10-07', '96', '7');
insert into `livros` values ('978-1-4827-1616-0', 'A arte de concretizar seus projetos simplesmente', '2013-02-05', '72', '9');
insert into `livros` values ('978-1-80913-523-0', 'A arte de concretizar seus projetos com toda a tranquilidade', '1993-03-04', '100', '16');
insert into `livros` values ('978-1-364-29151-8', 'A vantagem de atingir seus objetivos direto da fonte', '2014-07-11', '16', '14');
insert into `livros` values ('978-0-406-57738-2', 'A liberdade de avançar com confiança', '1999-04-07', '84', '12');
insert into `livros` values ('978-1-06-002845-6', 'O prazer de conseguir sem preocupação', '2002-03-22', '97', '10');
insert into `livros` values ('978-1-56151-790-9', 'A liberdade de inovar naturalmente', '2002-01-28', '86', '15');
insert into `livros` values ('978-1-57764-327-2', 'A segurança de avançar de maneira eficaz', '1980-04-20', '5', '6');
insert into `livros` values ('978-0-652-02484-5', 'A simplicidade de inovar antes de tudo', '1994-09-20', '32', '8');
insert into `livros` values ('978-1-908855-92-3', 'A arte de mudar direto da fonte', '1983-12-16', '56', '4');
insert into `livros` values ('978-1-76419-328-3', 'A vantagem de mudar com confiança', '2017-11-02', '89', '18');
insert into `livros` values ('978-0-374-44287-3', 'A simplicidade de conseguir antes de tudo', '2003-10-01', '19', '6');
insert into `livros` values ('978-0-317-17547-9', 'A simplicidade de ganhar com confiança', '1990-10-22', '25', '11');
insert into `livros` values ('978-1-4543-0556-9', 'A vantagem de ganhar direto da fonte', '1988-07-25', '29', '17');
insert into `livros` values ('978-1-874455-45-5', 'O prazer de inovar com confiança', '1999-02-22', '64', '6');
insert into `livros` values ('978-0-448-25984-0', 'A liberdade de evoluir mais rapidamente', '1970-08-26', '31', '13');
insert into `livros` values ('978-1-172-79973-2', 'A vantagem de concretizar seus projetos simplesmente', '2003-08-29', '97', '20');
insert into `livros` values ('978-0-691-24906-3', 'A certeza de evoluir mais facilmente', '1986-05-16', '51', '15');
insert into `livros` values ('978-1-82377-659-4', 'A liberdade de concretizar seus projetos de maneira eficaz', '1989-05-22', '73', '4');
insert into `livros` values ('978-1-03-053303-4', 'A liberdade de avançar em estado puro', '2004-10-16', '2', '15');
insert into `livros` values ('978-1-61648-220-6', 'O direito de conseguir em estado puro', '2016-12-18', '48', '8');
insert into `livros` values ('978-0-87513-055-2', 'A possibilidade de atingir seus objetivos de maneira eficaz', '1982-07-31', '4', '11');
insert into `livros` values ('978-1-66340-226-4', 'A liberdade de realizar seus sonhos com confiança', '1996-06-06', '61', '20');
insert into `livros` values ('978-0-05-299715-2', 'A arte de inovar sem preocupação', '1994-07-28', '89', '14');
insert into `livros` values ('978-1-302-66414-5', 'A arte de inovar mais rapidamente', '1992-11-10', '19', '3');
insert into `livros` values ('978-1-300-30656-6', 'A segurança de concretizar seus projetos com confiança', '1979-07-09', '76', '4');
insert into `livros` values ('978-0-276-80250-8', 'O prazer de evoluir com confiança', '2011-03-11', '73', '14');
insert into `livros` values ('978-0-03-367280-1', 'O direito de ganhar mais rapidamente', '2011-05-03', '19', '5');
insert into `livros` values ('978-1-81850-017-3', 'A vantagem de conseguir antes de tudo', '1992-05-31', '8', '12');
insert into `livros` values ('978-1-195-04249-5', 'O conforto de ganhar direto da fonte', '1995-12-11', '6', '11');
insert into `livros` values ('978-1-216-75421-5', 'A arte de conseguir sem preocupação', '2009-04-23', '69', '12');
insert into `livros` values ('978-0-262-16464-1', 'A vantagem de ganhar sem preocupação', '1992-06-25', '50', '6');
insert into `livros` values ('978-1-108-72234-6', 'A simplicidade de ganhar com confiança', '1975-09-29', '40', '7');
insert into `livros` values ('978-0-446-53062-0', 'A arte de mudar naturalmente', '2012-04-21', '30', '2');
insert into `livros` values ('978-1-82829-096-5', 'A possibilidade de avançar antes de tudo', '2016-07-18', '15', '17');
insert into `livros` values ('978-0-540-36093-2', 'A segurança de inovar mais facilmente', '2018-06-01', '65', '8');
insert into `livros` values ('978-0-281-90613-0', 'O prazer de realizar seus sonhos mais facilmente', '2000-12-14', '52', '15');
insert into `livros` values ('978-0-403-98032-1', 'A arte de mudar mais facilmente', '2018-11-26', '90', '18');
insert into `livros` values ('978-0-7675-1187-2', 'A certeza de concretizar seus projetos mais facilmente', '1983-01-13', '7', '18');
insert into `livros` values ('978-1-970328-13-4', 'A arte de realizar seus sonhos direto da fonte', '2007-09-13', '79', '8');
insert into `livros` values ('978-0-7070-4168-1', 'A simplicidade de atingir seus objetivos com toda a tranquilidade', '2006-01-31', '39', '16');
insert into `livros` values ('978-0-9769909-6-3', 'O prazer de mudar com força total', '1974-06-17', '37', '5');
insert into `livros` values ('978-0-900020-90-2', 'A simplicidade de inovar simplesmente', '1987-07-20', '21', '7');
